"","SeqId","Target","ExternalCalibratorReference0x2ESL14381_8d0x2Exlsx","medianQCreplicate","madNQCreplicate","mLLOD","mULOD","RRCIratio","mLLOQ","mULOQ","n","L95ref_L90CI","L95ref_U90CI","L95ref","U95ref","U95ref_L90CI","U95ref_U90CI","ColNum"
"bFGF.R.2424.69.4","2424-69_4","bFGF-R",8627.7986248837,3.97,0.05,4.088,3.888,8.9735,NA,NA,168,3.798,3.848,3.83,4.149,4.137,4.163,45
"C8.2429.27.4","2429-27_4","C8",2260.47651846834,3.35,0.04,NA,NA,10.2255,NA,NA,168,3.151,3.185,3.168,3.603,3.586,3.627,46
"Catalase.2430.52.7","2430-52_7","Catalase",25656.6529703487,4.41,0.01,4.428,4.399,3.5144,NA,NA,168,4.386,4.399,4.396,4.428,4.425,4.431,47
"Cathepsin.G.2431.17.3","2431-17_3","Cathepsin G",705.992357893668,2.86,0.04,3.072,NA,4.4496,NA,NA,33,3.072,3.072,3.072,3.198,3.178,3.227,48
"CXCL16..soluble.2436.49.4","2436-49_4","CXCL16, soluble",8435.28965126529,3.91,0.02,NA,NA,3.3177,NA,NA,168,3.771,3.86,3.819,4.148,4.124,4.217,49
"FGF.10.2441.2.4","2441-2_4","FGF-10",199.572179399263,2.22,0.02,NA,NA,6.3416,NA,NA,168,2.297,2.323,2.315,2.475,2.464,2.488,50
"FGF.8B.2443.10.4","2443-10_4","FGF-8B",795.792789897092,2.82,0.04,3.118,NA,3.6385,NA,NA,30,3.118,3.118,3.118,3.201,3.179,3.221,51
"GIIE.2447.7.4","2447-7_4","GIIE",215.774440915267,2.26,0.03,NA,NA,5.4753,NA,NA,168,2.302,2.32,2.314,2.523,2.503,2.552,52
"GV.2449.1.4","2449-1_4","GV",267.485349396354,2.38,0.02,NA,NA,4.1309,NA,NA,168,2.503,2.53,2.522,2.711,2.678,2.736,53
"IL.12.2455.17.4","2455-17_4","IL-12",654.334772373758,2.78,0.03,3.048,NA,2.195,NA,NA,28,3.048,3.048,3.048,3.119,3.092,3.152,54
"MIP.3a.2468.62.3","2468-62_3","MIP-3a",240.824129982783,2.27,0.02,NA,NA,5.1862,NA,NA,168,2.335,2.369,2.355,2.618,2.603,2.659,55
"SAP.2474.54.5","2474-54_5","SAP",44802.2680412866,4.69,0.03,NA,NA,5.9745,NA,NA,168,4.418,4.536,4.482,4.868,4.847,4.884,56
"SCF.sR.2475.1.3","2475-1_3","SCF sR",12670.6822499855,4.19,0.04,NA,NA,5.7608,NA,NA,168,3.806,3.852,3.828,4.352,4.313,4.403,57
"TIMP.3.2480.58.3","2480-58_3","TIMP-3",1117.63501610878,2.82,0.02,NA,NA,5.913,NA,NA,168,2.737,2.865,2.828,3.806,3.752,3.869,58
"TWEAK.2484.49.3","2484-49_3","TWEAK",234.045340832852,2.35,0.02,NA,NA,6.579,NA,NA,168,2.339,2.368,2.356,2.67,2.633,2.688,59
"Angiopoietin.4.2500.2.3","2500-2_3","Angiopoietin-4",320.774620613407,2.48,0.02,NA,NA,4.0142,NA,NA,168,2.618,2.636,2.628,2.968,2.936,3.04,60
"Cadherin.E.2501.51.3","2501-51_3","Cadherin E",59799.8369714251,4.79,0.02,NA,NA,6.7164,NA,NA,168,4.618,4.657,4.645,4.995,4.962,5.017,61
"GFRa.3.2505.49.3","2505-49_3","GFRa-3",861.192026148752,2.89,0.03,3.181,NA,3.6627,NA,NA,40,3.181,3.181,3.181,3.31,3.267,3.329,62
"Bcl.2.2513.7.3","2513-7_3","Bcl-2",2960.05649507582,3.47,0.01,3.484,3.444,6.6281,NA,NA,168,3.44,3.446,3.444,3.486,3.484,3.49,63
"Ephrin.B3.2514.65.3","2514-65_3","Ephrin-B3",553.987543938594,2.71,0.02,NA,NA,6.5022,NA,NA,168,2.797,2.825,2.811,3.091,3.075,3.122,64
"GFRa.2.2515.14.3","2515-14_3","GFRa-2",6340.15681956584,3.8,0.02,NA,NA,7.0815,NA,NA,168,3.639,3.679,3.667,4.019,4.005,4.054,65
"6Ckine.2516.57.3","2516-57_3","6Ckine",7537.02576688426,3.88,0.02,NA,NA,5.4109,NA,NA,168,3.6,3.699,3.645,4.15,4.107,4.187,66
"RANTES.2523.31.3","2523-31_3","RANTES",22945.6307251928,3.97,0.02,NA,NA,9.5552,NA,NA,168,3.409,3.617,3.529,4.862,4.839,4.914,67
"HMG.1.2524.56.3","2524-56_3","HMG-1",3419.0070790207,3.43,0.04,NA,NA,3.6123,NA,NA,168,3.567,3.68,3.611,4.173,4.12,4.257,68
"OPG.2526.53.3","2526-53_3","OPG",9379.93869618489,3.88,0.04,NA,NA,14.3287,NA,NA,168,3.672,3.731,3.694,4.152,4.142,4.161,69
"IL.15.Ra.2533.11.3","2533-11_3","IL-15 Ra",7353.599954754,3.86,0.02,3.896,3.826,4.065,NA,NA,168,3.836,3.847,3.841,3.886,3.876,3.888,70
"b.Endorphin.2558.51.3","2558-51_3","b-Endorphin",319.595017481476,2.39,0.02,NA,NA,11.8895,NA,NA,168,2.156,2.205,2.179,2.832,2.799,2.846,71
"Factor.I.2567.5.6","2567-5_6","Factor I",64476.2840643921,4.82,0.02,NA,NA,4.4487,NA,NA,168,4.711,4.777,4.764,4.941,4.937,4.96,72
"IGFBP.2.2570.72.5","2570-72_5","IGFBP-2",39039.118250766,4.43,0.03,NA,NA,5.9232,NA,NA,168,4.143,4.221,4.179,5.034,4.974,5.089,73
"IGFBP.3.2571.12.3","2571-12_3","IGFBP-3",1595.87914723673,3.26,0.03,NA,NA,6.8306,NA,NA,168,2.802,2.897,2.857,3.357,3.324,3.382,74
"Leptin.2575.5.5","2575-5_5","Leptin",6655.79596367229,3.47,0.02,NA,NA,5.7547,NA,NA,168,3.298,3.387,3.334,4.449,4.388,4.519,75
"MCP.1.2578.67.2","2578-67_2","MCP-1",546.512374519872,2.71,0.03,NA,NA,6.4469,NA,NA,168,2.637,2.666,2.653,3.044,3.009,3.077,76
"MMP.9.2579.17.5","2579-17_5","MMP-9",23377.6041227469,4.26,0.02,NA,NA,4.6072,NA,NA,168,3.813,3.882,3.852,4.605,4.567,4.7,77
"Myeloperoxidase.2580.83.2","2580-83_2","Myeloperoxidase",18775.8669891935,4.3,0.02,NA,NA,4.3925,NA,NA,168,4.005,4.109,4.078,4.556,4.497,4.598,78
"PRL.2585.2.5","2585-2_5","PRL",1590.37668382247,3.1,0.02,NA,NA,7.2928,NA,NA,168,3.049,3.114,3.092,3.541,3.506,3.561,79
"ROR1.2590.69.4","2590-69_4","ROR1",1413.83913909456,3.15,0.04,NA,NA,4.61,NA,NA,168,2.964,3.045,3.007,3.377,3.349,3.422,80
"VEGF.2597.8.3","2597-8_3","VEGF",14161.1981605718,4.1,0.02,NA,NA,5.3728,NA,NA,168,3.894,4.012,3.984,4.324,4.311,4.348,81
"4.1BB.2598.9.3","2598-9_3","4-1BB",255.623042711255,2.39,0.02,NA,NA,6.5043,NA,NA,168,2.353,2.379,2.367,2.7,2.676,2.735,82
"4.1BB.ligand.2599.51.2","2599-51_2","4-1BB ligand",263.14795540202,2.37,0.02,NA,NA,6.9022,NA,NA,168,2.345,2.374,2.363,2.678,2.661,2.711,83
"Angiopoietin.2.2602.2.2","2602-2_2","Angiopoietin-2",668.036204679247,2.89,0.02,NA,NA,10.6045,NA,NA,168,2.638,2.696,2.673,3.128,3.106,3.14,84
"B7.2603.61.2","2603-61_2","B7",382.91290212081,2.53,0.05,2.783,NA,1.892,NA,NA,21,2.783,2.783,2.783,2.827,2.801,2.846,85
"CD30.2605.49.2","2605-49_2","CD30",1292.70670080676,3.05,0.03,3.294,NA,1.8985,NA,NA,19,3.294,3.294,3.294,3.335,3.323,3.364,86
"CLF.1.CLC.Complex.2607.54.2","2607-54_2","CLF-1/CLC Complex",638.851619389802,2.56,0.02,NA,NA,3.8487,NA,NA,168,2.552,2.58,2.57,2.828,2.808,2.889,87
"Cystatin.C.2609.59.2","2609-59_2","Cystatin C",1992.96650616472,3.23,0.02,NA,NA,5.9862,NA,NA,168,3.183,3.214,3.197,3.541,3.499,3.566,88
"Dtk.2611.72.2","2611-72_2","Dtk",714.002939927844,2.93,0.03,NA,NA,6.5588,NA,NA,168,2.746,2.796,2.779,3.101,3.084,3.129,89
"eIF.5.2612.5.2","2612-5_2","eIF-5",1419.38430938003,3.05,0.02,NA,NA,7.52,NA,NA,168,3.146,3.186,3.175,3.617,3.594,3.653,90
"Ephrin.A4.2614.28.2","2614-28_2","Ephrin-A4",1539.21752695246,3.15,0.02,NA,NA,6.2107,NA,NA,168,2.959,3.016,3,3.482,3.435,3.512,91
"Ephrin.A5.2615.60.2","2615-60_2","Ephrin-A5",3727.34849690334,3.52,0.03,NA,NA,6.6459,NA,NA,168,3.258,3.354,3.312,3.819,3.792,3.852,92
"ERBB2.2616.23.18","2616-23_18","ERBB2",284.184246806359,2.34,0.02,NA,NA,6.2983,NA,NA,168,2.341,2.372,2.362,2.741,2.699,2.767,93
"ERBB3.2617.56.35","2617-56_35","ERBB3",675.927319455145,2.85,0.03,NA,NA,7.7457,NA,NA,168,2.574,2.64,2.613,3.007,2.976,3.018,94
"ERBB4.2618.10.2","2618-10_2","ERBB4",125.863556687644,2.08,0.02,NA,NA,6.606,NA,NA,168,2.045,2.084,2.066,2.341,2.321,2.362,95
"GA733.1.protein.2619.72.2","2619-72_2","GA733-1 protein",376.183722791328,2.5,0.04,NA,NA,5.7361,NA,NA,168,2.583,2.623,2.598,2.92,2.897,2.956,96
"gp130..soluble.2620.4.2","2620-4_2","gp130, soluble",14726.51553948,4.22,0.02,NA,NA,6.6638,NA,NA,168,4.017,4.06,4.039,4.336,4.324,4.365,97
"HO.2.2622.18.1","2622-18_1","HO-2",280.607968729545,2.43,0.02,NA,NA,4.1591,NA,NA,168,2.559,2.592,2.576,2.991,2.939,3.053,98
"HPV.E7.Type.16.2623.54.4","2623-54_4","HPV E7 Type 16",131.461928821608,2.1,0.02,NA,NA,3.406,NA,NA,168,2.13,2.157,2.148,2.379,2.34,2.428,99
"HPV.E7.Type18.2624.31.2","2624-31_2","HPV E7 Type18",802.786387989786,2.85,0.05,3.073,NA,-0.66667,NA,NA,16,3.073,3.073,3.073,3.073,3.073,3.073,100
"HSP.90a.b.2625.53.4","2625-53_4","HSP 90a/b",10524.4643173405,4.09,0.01,NA,NA,12.7685,NA,NA,168,4.136,4.221,4.191,5.007,4.992,5.037,101
"HSP.90a.b.2626.3.2","2626-3_2","HSP 90a/b",650.429155078802,2.81,0.02,NA,NA,7.6205,NA,NA,168,2.933,2.972,2.958,3.227,3.215,3.247,102
"IL.1.R.AcP.2630.12.2","2630-12_2","IL-1 R AcP",34705.6354007988,4.8,0.03,NA,NA,8.4521,NA,NA,168,4.198,4.279,4.258,4.808,4.784,4.835,103
"IL.10.Rb.2631.50.2","2631-50_2","IL-10 Rb",688.335233253991,2.78,0.03,3.007,NA,1.9806,NA,NA,19,3.007,3.007,3.007,3.047,3.033,3.071,104
"IL.12.Rb1.2632.5.2","2632-5_2","IL-12 Rb1",325.237040095297,2.57,0.02,NA,NA,6.7353,NA,NA,168,2.48,2.51,2.495,2.746,2.73,2.77,105
"IL.13.Ra1.2633.52.2","2633-52_2","IL-13 Ra1",3167.37875944447,3.54,0.04,NA,NA,4.0303,NA,NA,168,3.232,3.312,3.291,3.729,3.707,3.808,106
"IL.2.sRg.2634.2.2","2634-2_2","IL-2 sRg",1059.7416418831,3.03,0.02,NA,NA,5.224,NA,NA,168,3.148,3.202,3.176,3.976,3.926,4.053,107
"Layilin.2635.61.2","2635-61_2","Layilin",911.381062129296,2.89,0.03,NA,NA,4.9814,NA,NA,168,2.895,2.923,2.917,3.206,3.172,3.243,108
"Lymphotoxin.b.R.2636.10.2","2636-10_2","Lymphotoxin b R",3270.3934175664,3.41,0.05,NA,NA,6.4782,NA,NA,168,3.345,3.404,3.387,3.744,3.73,3.779,109
"Macrophage.mannose.receptor.2637.77.2","2637-77_2","Macrophage mannose receptor",6154.60237371316,3.88,0.03,NA,NA,6.9578,NA,NA,168,3.672,3.713,3.689,4.099,4.07,4.13,110
"M.CSF.R.2638.12.2","2638-12_2","M-CSF R",246.376907672177,2.48,0.05,2.561,2.347,6.4423,NA,NA,168,2.233,2.275,2.259,2.622,2.607,2.664,111
"MSP.R.2640.3.2","2640-3_2","MSP R",332.736159806162,2.47,0.03,2.679,NA,1.7375,NA,NA,22,2.679,2.679,2.679,2.738,2.716,2.778,112
"PAFAH.beta.subunit.2642.4.1","2642-4_1","PAFAH beta subunit",2199.37862509677,3.32,0.02,NA,NA,8.4609,NA,NA,168,3.375,3.451,3.431,4.053,4.019,4.08,113
"P.Cadherin.2643.57.2","2643-57_2","P-Cadherin",21222.6689690078,4.33,0.06,4.516,4.257,8.0243,NA,NA,168,4.213,4.237,4.222,4.515,4.503,4.543,114
"PKC.A.2644.11.2","2644-11_2","PKC-A",2310.46822389757,3.7,0.03,NA,NA,11.0591,NA,NA,168,3.79,4.098,3.991,5.022,5,5.045,115
"PKC.Z.2645.54.1","2645-54_1","PKC-Z",624.884856392962,2.72,0.02,NA,NA,5.4574,NA,NA,168,2.825,2.858,2.847,3.221,3.207,3.281,116
"Rab.GDP.dissociation.inhibitor.beta.2647.66.2","2647-66_2","Rab GDP dissociation inhibitor beta",12499.7118057837,4.14,0.01,NA,NA,6.7703,NA,NA,168,4.11,4.196,4.161,4.847,4.813,4.896,117
"sICAM.3.2649.77.2","2649-77_2","sICAM-3",784.87410348873,2.76,0.04,3.061,NA,3.78,NA,NA,29,3.061,3.061,3.061,3.116,3.101,3.128,118
"suPAR.2652.15.1","2652-15_1","suPAR",7237.69037074529,3.89,0.02,NA,NA,4.0937,NA,NA,168,3.523,3.694,3.656,4.138,4.097,4.188,119
"tau.2653.62.1","2653-62_1","tau",691.830970918936,2.76,0.03,NA,NA,3.4921,NA,NA,168,2.861,2.912,2.901,3.304,3.227,3.361,120
"TNF.sR.I.2654.19.1","2654-19_1","TNF sR-I",918.755601666063,2.87,0.02,NA,NA,3.5788,NA,NA,168,2.847,2.907,2.885,3.251,3.222,3.328,121
"TrkC.2658.27.1","2658-27_1","TrkC",2888.01869351405,3.5,0.04,NA,NA,5.8434,NA,NA,168,3.238,3.306,3.276,3.712,3.679,3.748,122
"BCMA.2665.26.2","2665-26_2","BCMA",5130.97619778,3.66,0.04,NA,NA,5.0844,NA,NA,168,3.478,3.528,3.506,3.964,3.937,4.027,123
"Bone.proteoglycan.II.2666.53.2","2666-53_2","Bone proteoglycan II",2843.80622147298,3.34,0.03,NA,NA,4.5772,NA,NA,168,3.312,3.385,3.351,3.667,3.637,3.7,124
"Calpain.I.2668.70.2","2668-70_2","Calpain I",17575.1888368596,4.3,0.02,NA,NA,12.1019,NA,NA,168,4.288,4.383,4.351,5.157,5.14,5.185,125
"CK.MM.2670.67.4","2670-67_4","CK-MM",801.308961991312,3.12,0.02,NA,NA,7.5916,NA,NA,168,2.454,2.529,2.507,3.314,3.275,3.359,126
"Cripto.2672.60.1","2672-60_1","Cripto",233.99145610551,2.34,0.02,NA,NA,7.4697,NA,NA,168,2.432,2.45,2.439,2.703,2.684,2.726,127
"ERBB1.2677.1.1","2677-1_1","ERBB1",41067.6639874822,4.66,0.03,NA,NA,6.9343,NA,NA,168,4.356,4.452,4.411,4.736,4.724,4.745,128
"HGF.2681.23.2","2681-23_2","HGF",1119.69567324346,2.95,0.02,NA,NA,2.6939,NA,NA,168,2.984,3.04,3.029,3.284,3.262,3.367,129
"HSP.60.2682.68.1","2682-68_1","HSP 60",4861.83258464984,3.84,0.03,NA,NA,11.0373,NA,NA,168,3.651,3.804,3.728,4.97,4.936,5.002,130
"IGFBP.5.2685.21.2","2685-21_2","IGFBP-5",1378.16114014961,3.09,0.04,NA,NA,7.5995,NA,NA,168,2.96,3.014,2.991,3.265,3.251,3.277,131
"IGFBP.6.2686.67.2","2686-67_2","IGFBP-6",731.812797674455,2.8,0.02,NA,NA,3.3114,NA,NA,168,2.675,2.746,2.726,3.107,3.075,3.192,132
"MIA.2687.2.1","2687-2_1","MIA",3969.17274009473,3.44,0.02,NA,NA,5.282,NA,NA,168,3.377,3.455,3.434,3.792,3.764,3.823,133
"NPS.PLA2.2692.74.2","2692-74_2","NPS-PLA2",3621.59598486019,3.37,0.03,NA,NA,3.6896,NA,NA,168,3.329,3.373,3.354,3.94,3.884,4.038,134
"OSM.2693.20.3","2693-20_3","OSM",1021.88023688844,2.99,0.05,3.213,NA,1.406,NA,NA,21,3.213,3.213,3.213,3.268,3.24,3.312,135
"PECAM.1.2695.25.1","2695-25_1","PECAM-1",801.308961991312,2.87,0.03,3.095,NA,2.5738,NA,NA,28,3.095,3.095,3.095,3.142,3.132,3.166,136
"Persephin.2696.87.2","2696-87_2","Persephin",242.940544202042,2.43,0.02,NA,NA,7.0789,NA,NA,168,2.36,2.399,2.385,2.752,2.726,2.779,137
"PF.4.2697.7.2","2697-7_2","PF-4",30938.5531545165,3.91,0.03,NA,NA,13.0776,NA,NA,168,3.35,3.639,3.572,5.274,5.258,5.316,138
"Protein.S.2700.56.2","2700-56_2","Protein S",5197.56584658362,3.8,0.04,3.82,3.647,4.9017,NA,NA,168,3.55,3.631,3.612,3.826,3.817,3.838,139
"TACI.2704.74.1","2704-74_1","TACI",910.33239967991,2.95,0.03,3.155,NA,6.4837,NA,NA,23,3.157,3.164,3.157,3.241,3.225,3.243,140
"TECK.2705.5.2","2705-5_2","TECK",2031.88909731313,3.38,0.02,NA,NA,6.3714,NA,NA,168,2.939,3.013,2.99,3.746,3.702,3.8,141
"Thyroxine.Binding.Globulin.2706.69.2","2706-69_2","Thyroxine-Binding Globulin",54038.0912079078,4.6,0.03,NA,NA,10.946,NA,NA,168,4.621,4.643,4.636,4.854,4.847,4.865,142
"TNFSF18.2708.54.2","2708-54_2","TNFSF18",418.215379914023,2.6,0.03,NA,NA,6.4835,NA,NA,168,2.588,2.614,2.599,2.815,2.804,2.84,143
"CNTFR.alpha.2711.6.2","2711-6_2","CNTFR alpha",11953.6352567372,4.1,0.05,NA,NA,6.4176,NA,NA,168,3.761,3.829,3.793,4.337,4.296,4.373,144
"EMAP.2.2714.78.2","2714-78_2","EMAP-2",3144.1264202588,3.57,0.04,3.681,NA,2.934,NA,NA,36,3.681,3.681,3.681,3.849,3.796,3.892,145
"EPO.R.2715.25.2","2715-25_2","EPO-R",228.928572389737,2.29,0.02,NA,NA,4.1883,NA,NA,168,2.375,2.415,2.4,2.595,2.585,2.633,146
"G.CSF.R.2719.3.4","2719-3_4","G-CSF-R",329.154653947068,2.46,0.04,NA,NA,4.0949,NA,NA,168,2.571,2.62,2.603,2.949,2.932,3.021,147
"IL.1F7.2723.9.2","2723-9_2","IL-1F7",1006.69984095796,2.97,0.03,NA,NA,4.5333,NA,NA,168,2.9,2.951,2.932,3.22,3.195,3.26,148
"Laminin.2728.62.2","2728-62_2","Laminin",2812.54836904023,3.47,0.05,NA,NA,5.556,NA,NA,168,3.265,3.369,3.319,3.725,3.698,3.753,149
"MICA.2730.58.2","2730-58_2","MICA",233.507051486308,2.31,0.02,NA,NA,5.4662,NA,NA,168,1.976,2.056,2.026,2.778,2.728,2.843,150
"NADPH.P450.Oxidoreductase.2731.29.2","2731-29_2","NADPH-P450 Oxidoreductase",3187.1316270228,3.38,0.02,NA,NA,5.5286,NA,NA,168,3.346,3.417,3.375,3.895,3.862,3.948,151
"NANOG.2732.58.3","2732-58_3","NANOG",233.023649672246,2.28,0.02,NA,NA,4.532,NA,NA,168,2.218,2.263,2.245,2.521,2.487,2.553,152
"NKp44.2734.49.4","2734-49_4","NKp44",133.260058627758,2.11,0.03,NA,NA,5.2426,NA,NA,168,2.213,2.251,2.241,2.607,2.557,2.637,153
